income,expenses,loanamount,term_years,loan_approved
74000,51000,91000,5,0
92000,40000,241000,5,0
65000,27000,113000,30,0
20000,12000,69000,30,0
113000,54000,392000,10,0
81000,37000,81000,30,0
64000,33000,245000,30,0
101000,68000,102000,10,0
121000,40500,253000,15,0
20000,9500,59000,10,0
88000,30500,169000,15,0
32000,21000,78000,10,0
90000,32000,359000,10,0
79000,26500,111000,15,1
94000,64500,298000,5,0
60000,31500,168000,20,0
20000,12500,76000,5,0
61000,30000,52000,30,0
87000,41500,125000,10,0
105000,70000,334000,5,0
40000,28000,135000,10,0
106000,58000,319000,5,0
56000,37500,58000,10,0
86000,55500,142000,15,0
60000,31000,77000,20,0
80000,54000,254000,10,0
102000,39000,370000,5,0
38000,25000,101000,30,0
55000,23500,58000,15,0
81000,25500,287000,30,1
147000,90500,298000,10,0
49000,33000,54000,5,0
136000,52500,363000,15,0
135000,69500,107000,5,0
72000,43000,187000,5,0
66000,28500,257000,30,0
54000,19500,139000,15,0
73000,33500,255000,15,0
33000,16000,116000,30,0
73000,43500,79000,5,0
120000,45500,341000,10,0
57000,35500,135000,20,0
68000,34000,45000,30,0
24000,16000,28000,30,0
86000,45500,94000,5,0
83000,39500,222000,15,0
77000,32000,81000,10,0
68000,23500,106000,10,1
66000,29500,58000,30,0
90000,42000,64000,30,0
74000,39000,295000,15,0
84000,54000,158000,30,0
81000,39500,183000,30,0
109000,46500,68000,10,0
95000,61500,101000,15,0
81000,48000,210000,15,0
121000,51000,230000,30,0
88000,32500,233000,15,0
114000,47500,181000,5,0
93000,32500,207000,10,0
20000,13000,74000,20,0
114000,62000,303000,30,0
79000,51000,236000,20,0
73000,46000,273000,15,0
83000,30000,249000,30,0
65000,31000,180000,15,0
82000,56500,286000,20,0
57000,22500,167000,15,0
113000,36000,295000,5,0
72000,31500,96000,30,0
64000,32500,38000,10,0
47000,15000,93000,15,0
83000,39000,280000,15,0
81000,32500,189000,10,0
87000,33500,69000,15,1
44000,18000,90000,5,0
27000,9000,71000,30,1
94000,31000,125000,20,1
120000,64500,95000,20,0
44000,30000,108000,20,0
123000,76500,99000,30,0
84000,53000,45000,20,0
75000,44500,232000,15,0
63000,43000,133000,20,0
33000,22500,21000,5,0
105000,64000,272000,5,0
52000,30500,28000,5,0
52000,22000,85000,20,1
105000,35500,115000,15,1
20000,6500,38000,30,0
29000,17000,16000,10,0
74000,23000,289000,5,0
84000,52500,86000,20,0
90000,40000,347000,30,0
66000,25000,150000,20,0
151000,70000,111000,5,0
68000,39500,243000,20,0
68000,28000,133000,5,0
51000,19000,52000,5,0
79000,47000,114000,5,0
93000,60500,142000,15,0
111000,59500,292000,20,0
30000,15500,117000,10,0
68000,41000,78000,30,0
88000,52000,110000,20,0
93000,28000,362000,10,0
75000,31000,95000,10,0
91000,61000,119000,15,0
51000,35000,202000,5,0
122000,61500,341000,30,0
105000,55000,165000,5,0
35000,10500,47000,30,1
43000,24500,93000,20,0
44000,17000,71000,10,0
95000,33500,51000,30,0
36000,15000,27000,15,0
65000,37000,155000,20,0
89000,42000,126000,10,0
73000,32000,277000,30,0
83000,49000,243000,15,0
43000,27000,169000,20,0
93000,60000,309000,20,0
57000,27000,91000,30,0
65000,38000,202000,5,0
82000,53500,174000,15,0
78000,52000,179000,20,0
76000,38000,179000,15,0
52000,23000,151000,15,0
66000,43500,116000,5,0
75000,30500,243000,10,0
34000,21000,38000,10,0
61000,40500,107000,20,0
87000,52000,249000,5,0
37000,21000,128000,15,0
110000,35000,385000,20,0
113000,43000,189000,20,1
38000,21500,75000,10,0
116000,71000,164000,20,0
71000,23000,190000,10,0
88000,27000,159000,20,1
60000,25500,225000,10,0
103000,57500,178000,15,0
87000,44000,250000,30,0
51000,15500,144000,10,0
40000,14500,89000,15,0
31000,18500,18000,30,0
81000,34000,124000,5,0
92000,32000,274000,30,0
95000,30500,184000,5,0
71000,45500,53000,15,0
40000,19500,146000,20,0
55000,27500,140000,15,0
110000,35500,87000,5,0
60000,29500,40000,10,0
79000,44000,66000,15,0
43000,15000,172000,5,0
85000,56000,126000,20,0
61000,37500,181000,5,0
106000,66000,115000,15,0
98000,50500,138000,15,0
60000,26000,31000,15,0
71000,39500,248000,10,0
58000,22500,230000,30,0
32000,11500,58000,5,0
49000,25500,61000,5,0
81000,40000,87000,5,0
85000,30500,120000,5,0
79000,40500,145000,10,0
66000,34000,200000,15,0
103000,67000,307000,20,0
77000,46500,177000,5,0
96000,37000,181000,5,0
22000,14000,50000,30,0
20000,14000,49000,30,0
84000,49500,223000,15,0
32000,19500,89000,20,0
69000,28000,190000,20,0
66000,46000,82000,30,0
123000,45500,269000,20,0
87000,52000,146000,10,0
80000,36500,207000,5,0
100000,44500,224000,30,0
86000,35500,103000,5,0
61000,29000,176000,30,0
107000,66000,61000,15,0
42000,28500,67000,10,0
85000,39500,276000,10,0
29000,16500,92000,15,0
81000,50000,310000,30,0
81000,27500,207000,5,0
125000,85500,272000,30,0
28000,11000,79000,15,0
57000,38000,197000,5,0
100000,69500,260000,10,0
85000,29000,264000,5,0
80000,52500,128000,20,0
46000,25500,76000,15,0
57000,35500,43000,5,0
112000,38500,162000,15,0
73000,46500,162000,10,0
86000,47500,243000,5,0
72000,36500,174000,5,0
40000,21000,121000,15,0
103000,61500,215000,5,0
90000,37500,207000,15,0
144000,97500,308000,5,0
45000,19000,117000,10,0
100000,65000,169000,20,0
36000,11000,95000,15,1
80000,53500,154000,5,0
104000,66500,270000,15,0
20000,7000,34000,20,1
69000,41000,74000,20,0
58000,26000,69000,5,0
54000,26500,54000,10,0
87000,28500,92000,20,1
109000,42000,291000,30,1
71000,48500,254000,10,0
81000,38000,290000,10,0
78000,24000,238000,15,0
75000,38000,180000,10,0
42000,29500,89000,30,0
108000,47000,102000,15,0
84000,30000,100000,10,0
87000,48500,330000,15,0
51000,34000,83000,5,0
61000,39500,156000,30,0
70000,39500,186000,15,0
29000,11000,37000,30,0
24000,14500,76000,5,0
57000,36000,48000,20,0
91000,58000,131000,20,0
55000,25500,135000,15,0
44000,20500,97000,20,0
51000,18500,156000,20,0
61000,37000,235000,10,0
64000,38000,87000,30,0
140000,47500,87000,5,0
107000,33000,177000,15,1
106000,72000,359000,10,0
110000,34000,339000,5,0
45000,25000,103000,20,0
38000,18500,79000,10,0
42000,25500,77000,15,0
115000,38500,143000,5,0
59000,34000,100000,20,0
37000,20000,43000,30,0
62000,40000,45000,5,0
68000,34500,245000,30,0
83000,49000,112000,5,0
83000,39500,70000,15,0
50000,34500,113000,5,0
96000,50500,132000,30,0
56000,33500,107000,30,0
70000,23500,271000,15,0
96000,46500,111000,20,0
56000,18000,88000,30,1
58000,20000,133000,5,0
93000,46500,185000,20,0
49000,21500,41000,5,0
63000,30500,196000,30,0
92000,46000,197000,20,0
137000,50000,193000,15,0
93000,41500,297000,20,0
89000,57500,164000,5,0
91000,58500,147000,30,0
43000,21500,135000,5,0
78000,47000,69000,15,0
74000,44500,272000,5,0
85000,27000,56000,20,1
78000,42500,77000,5,0
86000,53500,113000,30,0
66000,35500,189000,20,0
77000,40000,224000,20,0
38000,19500,151000,30,0
65000,32500,157000,5,0
117000,71500,398000,30,0
85000,47500,177000,20,0
74000,28500,203000,15,0
132000,62500,94000,20,0
34000,17500,115000,15,0
42000,19500,117000,10,0
126000,50000,340000,10,0
76000,26500,97000,20,1
68000,23500,130000,30,1
39000,16500,51000,20,0
88000,40500,261000,15,0
91000,52000,363000,20,0
42000,29000,49000,5,0
71000,47000,66000,15,0
65000,40500,109000,30,0
83000,52000,188000,5,0
41000,22000,121000,15,0
113000,45500,253000,15,0
102000,50000,403000,5,0
64000,23000,198000,20,0
69000,36500,80000,20,0
71000,22000,108000,5,0
52000,19500,172000,15,0
62000,36500,222000,30,0
67000,27500,158000,30,0
123000,57500,255000,5,0
103000,65000,107000,10,0
103000,32500,140000,5,0
86000,26500,255000,20,0
41000,16000,28000,5,0
74000,42500,194000,15,0
104000,41000,134000,10,0
37000,24000,47000,30,0
94000,41500,186000,10,0
145000,60000,302000,10,0
107000,42000,297000,5,0
117000,62000,120000,15,0
82000,52500,140000,10,0
104000,48000,111000,10,0
53000,21500,125000,5,0
99000,46500,116000,30,0
95000,63000,340000,20,0
84000,36500,59000,30,0
114000,64000,283000,20,0
59000,25500,176000,10,0
69000,39500,251000,15,0
78000,51000,106000,20,0
44000,23500,126000,30,0
82000,55500,245000,5,0
23000,12500,58000,5,0
106000,73000,369000,30,0
76000,45000,160000,10,0
59000,33000,177000,10,0
50000,31500,57000,20,0
68000,20500,265000,5,0
96000,38500,255000,20,0
91000,35000,280000,5,0
54000,18500,84000,10,0
50000,34000,99000,20,0
95000,33500,106000,20,1
53000,21500,203000,20,0
77000,33500,283000,20,0
79000,43500,81000,20,0
84000,51000,114000,5,0
101000,54500,239000,10,0
37000,22000,34000,5,0
20000,9000,51000,5,0
58000,40500,83000,20,0
129000,47500,354000,15,0
136000,62500,105000,20,0
130000,82500,139000,20,0
69000,27500,162000,30,0
22000,13000,65000,30,0
20000,9000,51000,5,0
57000,21000,91000,15,0
69000,32000,175000,10,0
114000,70000,166000,10,0
101000,35000,390000,30,1
82000,41500,87000,15,0
48000,28500,127000,30,0
46000,27500,97000,15,0
83000,38000,142000,20,0
96000,46500,214000,20,0
87000,56000,80000,10,0
44000,17000,88000,20,0
95000,66000,346000,10,0
88000,41000,91000,10,0
43000,17500,106000,10,0
51000,15500,165000,30,1
96000,33500,323000,15,0
68000,41000,75000,10,0
123000,69000,380000,5,0
90000,36000,285000,5,0
60000,40000,145000,30,0
75000,47500,149000,20,0
77000,31500,55000,5,0
53000,23000,28000,30,1
48000,18000,122000,5,0
96000,53500,169000,5,0
100000,58000,148000,30,0
93000,42500,84000,15,0
120000,71500,452000,20,0
59000,41000,67000,15,0
125000,68000,352000,20,0
48000,27000,31000,5,0
45000,20000,126000,30,0
22000,6500,61000,30,1
62000,42500,228000,5,0
60000,36500,154000,5,0
91000,52500,54000,20,0
82000,25500,316000,15,0
39000,23500,33000,20,0
63000,36000,84000,30,0
64000,34000,199000,10,0
22000,12000,65000,10,0
46000,30500,139000,10,0
52000,15500,102000,30,1
118000,43000,217000,20,1
81000,53500,207000,20,0
95000,29000,138000,20,1
30000,20000,36000,15,0
111000,34500,117000,10,1
114000,69500,211000,5,0
20000,13000,73000,20,0
54000,29500,202000,10,0
90000,50000,326000,15,0
94000,30000,114000,5,0
55000,21000,142000,10,0
66000,43500,183000,10,0
57000,36000,121000,20,0
78000,25500,195000,20,0
111000,69500,104000,20,0
52000,24500,190000,10,0
105000,55000,102000,30,0
52000,18000,178000,15,0
50000,23000,34000,20,0
100000,47500,191000,15,0
103000,58500,122000,10,0
101000,57000,107000,15,0
36000,18500,103000,5,0
61000,19000,220000,30,1
100000,36500,327000,20,0
76000,27500,115000,5,0
43000,28000,113000,15,0
89000,59000,136000,10,0
54000,33500,44000,5,0
129000,47500,117000,15,1
121000,77000,134000,30,0
93000,35000,262000,5,0
116000,60500,112000,30,0
77000,45500,194000,20,0
98000,31500,49000,10,1
119000,64000,364000,15,0
82000,33000,115000,20,0
67000,33500,167000,20,0
24000,11000,41000,20,0
73000,42000,173000,10,0
100000,49500,118000,20,0
103000,43500,275000,5,0
90000,60000,323000,20,0
59000,40500,149000,15,0
20000,12500,41000,20,0
60000,32000,129000,15,0
66000,43000,126000,5,0
66000,35500,87000,15,0
94000,34000,172000,20,1
135000,41500,267000,10,0
79000,46500,230000,10,0
68000,41000,110000,30,0
67000,45000,122000,20,0
79000,49500,212000,30,0
50000,28000,163000,20,0
79000,29500,272000,5,0
89000,48000,231000,15,0
81000,38500,170000,15,0
89000,35000,250000,10,0
88000,54500,54000,10,0
22000,8000,54000,15,0
94000,52000,148000,30,0
55000,30000,127000,20,0
42000,17500,64000,15,1
42000,20000,48000,10,0
88000,30500,119000,20,1
68000,21000,211000,10,0
25000,7500,45000,15,0
89000,33000,270000,10,0
32000,20500,100000,10,0
79000,40000,45000,10,0
82000,28500,311000,15,0
102000,67500,87000,5,0
128000,67500,275000,5,0
34000,10500,130000,10,0
73000,44000,77000,10,0
67000,33000,79000,5,0
88000,45000,116000,15,0
81000,44000,276000,15,0
64000,21500,220000,20,0
62000,42000,226000,30,0
42000,17000,95000,15,0
105000,57500,384000,20,0
89000,57000,128000,5,0
103000,44500,271000,10,0
66000,36500,132000,30,0
55000,38500,83000,10,0
43000,27500,136000,10,0
86000,52500,264000,10,0
44000,21000,137000,15,0
130000,62500,337000,5,0
36000,18000,60000,10,0
83000,48000,237000,30,0
122000,43500,147000,15,0
93000,60000,127000,5,0
80000,24500,308000,10,0
46000,17000,111000,10,0
34000,17000,102000,5,0
98000,39500,205000,15,0
120000,53500,61000,20,0
62000,27000,142000,20,0
41000,16500,98000,15,0
20000,9000,17000,20,0
46000,23000,57000,10,0
72000,35500,68000,15,0
123000,77000,441000,20,0
95000,40000,58000,30,1
84000,34500,265000,15,0
63000,31500,127000,10,0
58000,18500,30000,15,1
117000,40500,242000,5,0
81000,50500,318000,15,0
20000,10000,41000,10,0
55000,18000,80000,30,1
49000,23500,182000,30,0
59000,27000,46000,10,0
92000,36500,290000,5,0
72000,32500,98000,5,0
73000,27500,217000,15,0
114000,54500,112000,20,0
54000,25000,36000,30,0
131000,71000,378000,15,0
55000,37000,100000,20,0
78000,29000,309000,5,0
67000,31500,165000,5,0
79000,41500,55000,10,0
88000,45500,87000,15,0
88000,49500,321000,5,0
52000,21000,39000,30,1
41000,22500,98000,5,0
150000,57000,84000,10,1
60000,21000,181000,20,0
96000,60500,95000,5,0
27000,13000,31000,15,0
67000,30500,100000,30,1
71000,47500,36000,15,0
89000,52000,208000,30,0
20000,11500,78000,20,0
80000,30000,235000,30,0
41000,15500,157000,5,0
85000,42000,81000,15,0
44000,24500,59000,30,0
49000,22500,84000,15,0
67000,22000,208000,5,0
43000,24500,171000,10,0
61000,37000,213000,5,0
39000,26500,100000,20,0
20000,9500,51000,10,0
106000,42500,339000,30,0
36000,24000,42000,20,0
70000,41000,237000,10,0
98000,32000,302000,20,0
57000,30500,42000,15,0
50000,15500,32000,15,1
82000,32000,85000,15,1
109000,36000,304000,10,0
40000,15500,154000,30,0
70000,34500,62000,10,1
23000,9500,61000,20,0
63000,21000,163000,30,1
76000,37500,83000,15,0
49000,28500,70000,5,0
61000,19500,146000,5,0
33000,21500,55000,15,0
77000,43000,81000,20,0
107000,54500,214000,10,0
42000,19500,34000,20,0
56000,25500,142000,15,0
90000,39000,90000,15,0
111000,38500,339000,10,0
30000,10000,72000,15,1
70000,29500,54000,5,0
83000,47000,106000,30,0
72000,30000,144000,5,0
20000,12500,38000,10,0
90000,40500,305000,20,0
121000,67000,326000,20,0
78000,37000,281000,5,0
44000,22000,107000,30,0
60000,24000,96000,15,0
128000,64500,78000,20,0
102000,35000,126000,15,1
94000,42500,132000,30,1
86000,41000,70000,20,0
55000,32000,130000,5,0
69000,31500,189000,30,0
73000,41500,49000,30,0
91000,33500,155000,20,1
120000,37000,72000,20,1
109000,55000,333000,20,0
32000,15500,72000,15,0
82000,46500,240000,5,0
97000,41500,259000,15,0
94000,29500,328000,20,1
56000,33000,200000,5,0
162000,109500,398000,30,0
37000,17000,78000,10,0
43000,23500,171000,20,0
82000,42500,96000,10,0
139000,73000,381000,30,0
50000,32500,134000,10,0
67000,40000,258000,15,0
107000,65000,89000,15,0
74000,25000,282000,20,0
65000,23500,206000,15,0
92000,52000,88000,10,0
83000,43000,98000,15,0
106000,64500,155000,15,0
114000,38500,327000,20,0
84000,44000,262000,20,0
84000,41500,259000,20,0
81000,52000,225000,10,0
90000,33500,87000,20,0
77000,34000,50000,10,1
75000,27000,110000,10,0
111000,53500,289000,20,0
120000,78500,208000,20,0
30000,17000,104000,30,0
75000,45000,253000,10,0
54000,18000,68000,20,1
66000,31500,185000,10,0
87000,55500,296000,20,0
95000,60500,347000,30,0
72000,50000,144000,15,0
20000,10000,74000,10,0
46000,14000,142000,30,1
102000,67500,157000,5,0
20000,13500,34000,30,0
111000,74500,109000,5,0
91000,55500,166000,10,0
114000,44000,202000,30,1
69000,24500,185000,5,0
20000,11500,31000,5,0
88000,31500,174000,5,0
113000,77000,109000,30,0
103000,49500,315000,20,0
55000,17000,35000,5,0
78000,28000,243000,30,1
59000,24500,66000,15,1
50000,29000,197000,15,0
104000,62000,412000,20,0
39000,15000,155000,20,0
48000,27000,26000,20,0
42000,13000,53000,15,1
30000,10000,73000,15,0
79000,40500,242000,10,0
110000,64000,369000,5,0
69000,46000,67000,20,0
30000,14500,105000,15,0
100000,35000,295000,5,0
126000,84500,191000,10,0
56000,26500,30000,30,0
61000,30500,225000,15,0
90000,58000,107000,15,0
124000,66500,220000,5,0
59000,25000,205000,15,0
35000,18000,99000,30,0
94000,51500,91000,15,0
99000,65000,389000,10,0
75000,29500,121000,10,0
58000,30500,150000,30,0
105000,70000,283000,10,0
91000,29000,226000,15,0
52000,19500,131000,10,0
76000,33500,103000,10,0
34000,19500,131000,10,0
96000,61000,212000,20,0
67000,25500,66000,30,1
62000,24500,215000,10,0
74000,46500,75000,30,0
76000,27500,267000,20,0
102000,41500,251000,30,0
93000,55000,61000,15,0
70000,25500,65000,15,0
98000,62000,373000,10,0
87000,43000,82000,15,0
62000,29500,158000,20,0
71000,25000,113000,30,1
71000,40500,234000,30,0
90000,59000,295000,20,0
64000,37000,211000,15,0
63000,27000,77000,20,0
134000,77500,401000,15,0
103000,52000,84000,30,0
52000,33500,40000,20,0
92000,44500,178000,15,0
79000,31000,205000,20,0
87000,29500,139000,15,1
79000,32500,124000,30,0
111000,58500,85000,15,0
85000,31500,101000,5,0
73000,23000,192000,20,0
106000,51000,306000,5,0
82000,36000,301000,15,0
79000,37000,143000,20,0
84000,40500,112000,10,0
72000,43500,217000,30,0
75000,51500,214000,20,0
57000,23000,83000,20,0
52000,35000,166000,15,0
45000,17500,54000,5,0
33000,20000,57000,10,0
49000,28000,67000,30,0
70000,22500,194000,5,0
78000,46000,173000,30,0
67000,44500,206000,30,0
20000,13500,18000,5,0
122000,70000,171000,10,0
108000,66500,237000,15,0
88000,29000,61000,10,0
132000,48000,404000,15,0
46000,18500,68000,15,0
132000,67500,345000,5,0
46000,21000,168000,5,0
82000,46000,114000,30,0
37000,17500,115000,20,0
75000,46000,204000,30,0
87000,51000,98000,15,0
70000,42000,215000,30,0
96000,60500,69000,15,0
78000,49500,181000,15,0
59000,36000,54000,5,0
58000,19000,168000,30,0
99000,54500,155000,10,0
55000,17000,183000,30,1
102000,61000,226000,10,0
112000,36500,88000,10,1
25000,17500,65000,30,0
109000,59500,59000,20,0
137000,51000,209000,5,0
83000,40500,120000,20,0
93000,58500,366000,30,0
106000,39500,143000,10,1
67000,34500,192000,10,0
80000,24000,112000,30,1
36000,22000,28000,15,0
79000,30000,57000,15,1
90000,41000,337000,30,0
90000,46000,75000,15,0
107000,38500,365000,10,0
52000,35000,125000,20,0
59000,29000,119000,5,0
132000,52000,527000,10,0
70000,41500,253000,5,0
81000,53500,108000,20,0
73000,48500,190000,20,0
50000,23500,53000,15,0
124000,55000,321000,10,0
59000,39500,55000,5,0
41000,13000,111000,15,0
61000,36500,238000,30,0
20000,7500,51000,5,0
55000,26500,52000,20,0
46000,31500,152000,5,0
94000,50000,156000,20,0
55000,28000,46000,20,0
102000,33000,285000,20,0
117000,48000,399000,15,0
98000,29500,215000,5,0
69000,45000,259000,30,0
79000,44000,228000,15,0
29000,10000,78000,10,0
71000,31500,123000,20,0
49000,30500,78000,5,0
96000,34000,143000,30,1
152000,59500,586000,20,0
90000,46500,250000,15,0
20000,7000,52000,10,0
64000,29000,104000,10,0
79000,54500,137000,15,0
78000,40500,115000,20,0
53000,31000,56000,5,0
82000,46500,305000,5,0
38000,14500,96000,20,0
47000,30000,144000,10,0
94000,33000,203000,15,0
45000,30000,31000,10,0
91000,35000,195000,15,0
34000,23000,22000,30,0
128000,79500,488000,5,0
52000,19000,88000,5,0
68000,25000,71000,15,1
85000,28500,110000,20,1
58000,23000,214000,5,0
79000,44500,97000,15,0
92000,46500,89000,15,0
104000,56500,277000,10,0
99000,31000,82000,5,0
70000,23000,151000,5,0
71000,41000,204000,20,0
145000,92500,144000,10,0
103000,45500,332000,30,0
47000,17000,94000,15,0
78000,33000,233000,10,0
65000,30000,90000,5,0
71000,39000,144000,15,0
38000,17500,82000,15,0
63000,41500,97000,10,0
129000,59500,422000,30,0
92000,34500,103000,30,0
20000,8000,56000,5,0
112000,54500,421000,10,0
108000,66000,371000,10,0
64000,41500,203000,10,0
97000,36500,97000,30,1
49000,15000,155000,30,1
61000,39500,110000,10,0
120000,47000,103000,20,0
67000,42000,197000,10,0
20000,10500,15000,20,0
73000,33500,134000,15,0
73000,26000,256000,10,0
111000,63000,322000,30,0
75000,47000,173000,15,0
62000,30000,222000,10,0
106000,50500,331000,15,0
79000,47500,169000,10,0
52000,26000,162000,5,0
110000,67500,395000,5,0
81000,26000,81000,10,1
75000,48000,90000,15,0
80000,32500,243000,5,0
43000,16000,47000,10,0
59000,18500,64000,5,1
75000,47500,210000,5,0
69000,22500,164000,10,0
113000,77000,356000,10,0
82000,43000,133000,20,0
101000,58500,266000,10,0
75000,44500,273000,5,0
107000,44500,392000,30,0
87000,54000,242000,10,0
75000,51000,44000,10,0
75000,33500,176000,20,0
46000,29000,34000,20,0
90000,55000,357000,10,0
74000,39500,295000,15,0
60000,27000,54000,20,0
108000,50500,226000,5,0
37000,15500,130000,5,0
62000,29000,56000,15,0
106000,74000,258000,30,0
84000,37500,101000,20,0
74000,42000,163000,30,0
83000,35500,100000,30,0
80000,39000,188000,15,0
30000,10000,58000,20,1
65000,39500,122000,15,0
123000,69500,131000,20,0
55000,24000,155000,30,0
65000,33000,48000,15,0
59000,38500,222000,30,0
72000,23000,51000,20,1
58000,39000,113000,10,0
90000,44000,135000,10,0
81000,52000,197000,20,0
98000,63000,58000,20,0
43000,14000,88000,5,0
65000,40000,204000,30,0
68000,40500,226000,30,0
89000,28000,336000,10,0
51000,34500,45000,10,0
102000,56500,249000,30,0
111000,40500,211000,15,1
45000,15500,124000,10,0
60000,31500,205000,15,0
59000,19000,153000,15,0
154000,56500,200000,20,0
62000,42000,101000,20,0
125000,74500,453000,5,0
37000,20000,105000,20,0
45000,17500,116000,30,0
54000,21000,53000,5,0
50000,24000,85000,5,0
67000,40500,109000,10,0
54000,16500,32000,20,1
50000,16000,188000,30,1
110000,71500,183000,15,0
112000,70000,96000,20,0
103000,59500,230000,10,0
91000,45500,188000,15,0
78000,28000,271000,30,0
60000,20500,198000,10,0
46000,30500,149000,20,0
86000,39000,324000,30,0
40000,23000,72000,10,0
45000,21500,115000,5,0
110000,65000,313000,5,0
132000,50000,284000,30,1
87000,43000,118000,15,0
108000,48500,394000,30,0
68000,27000,248000,30,0
35000,19000,112000,15,0
93000,48000,159000,20,0
92000,46000,47000,30,0
77000,41500,171000,10,0
68000,24500,159000,20,0
104000,46500,230000,10,0
45000,19500,38000,30,0
52000,31500,169000,30,0
45000,14000,106000,30,1
78000,32000,100000,20,1
42000,28000,162000,30,0
54000,22500,84000,20,1
54000,19500,99000,15,0
67000,40500,128000,5,0
30000,9500,57000,20,1
78000,36500,214000,15,0
112000,72000,167000,20,0
79000,54000,289000,10,0
121000,48500,303000,5,0
115000,48000,412000,30,0
98000,51500,364000,15,0
77000,30000,246000,20,0
76000,27500,103000,10,0
98000,46000,162000,30,0
63000,20500,82000,30,1
20000,13000,42000,15,0
90000,39000,206000,20,0
41000,18000,69000,20,0
46000,28500,163000,20,0
75000,32500,141000,10,0
72000,43500,213000,30,0
33000,12500,113000,20,0
80000,41000,85000,15,0
104000,63000,312000,15,0
41000,19500,43000,20,0
113000,37000,359000,10,0
28000,16500,70000,20,0
139000,69000,320000,10,0
63000,27000,148000,30,0
79000,55000,151000,30,0
20000,13000,13000,10,0
73000,23000,178000,20,1
82000,44000,47000,15,0
72000,32000,266000,5,0
58000,18500,80000,10,1
47000,14500,130000,10,0
109000,58000,268000,10,0
76000,32500,202000,10,0
121000,70500,198000,5,0
59000,28500,122000,15,0
62000,37500,194000,5,0
99000,62000,185000,20,0
26000,14500,39000,30,0
39000,18000,24000,20,0
108000,75000,234000,5,0
40000,17000,117000,30,0
20000,10000,30000,15,0
131000,66500,462000,15,0
33000,15500,30000,30,0
81000,28000,146000,20,0
77000,34000,238000,5,0
20000,7500,78000,5,0
67000,44000,122000,20,0
88000,49500,272000,30,0
86000,35500,251000,5,0
102000,53500,385000,30,0
63000,40500,142000,20,0
96000,64500,246000,30,0
54000,18000,58000,15,1
33000,20500,47000,15,0
36000,24500,98000,30,0
31000,15000,76000,10,0
105000,73500,216000,10,0
30000,20500,89000,10,0
83000,46500,113000,15,0
67000,43000,197000,30,0
72000,30000,83000,20,0
116000,77500,259000,15,0
62000,33500,56000,15,0
93000,47000,215000,30,0
76000,48000,256000,30,0
70000,46000,154000,5,0
144000,83500,237000,30,0
32000,10000,31000,10,1
114000,61500,200000,15,0
95000,59500,332000,15,0
61000,31500,114000,30,0
124000,83500,142000,10,0
20000,13000,72000,30,0
59000,30000,221000,5,0
39000,18000,150000,5,0
87000,28000,201000,15,0
42000,23000,104000,10,0
88000,36000,137000,10,0
69000,39000,116000,20,0
61000,38000,141000,10,0
87000,40500,93000,5,0
67000,20500,259000,20,0
42000,27000,122000,15,0
159000,82500,105000,30,0
60000,25500,84000,15,0
20000,11000,31000,20,0
50000,28500,27000,30,0
37000,13500,146000,5,0
100000,56000,148000,5,0
85000,35000,58000,20,1
87000,54000,310000,15,0
64000,43500,57000,20,0
67000,23000,140000,5,0
64000,42500,114000,10,0
73000,48500,56000,30,0
100000,43500,61000,15,0
85000,26500,122000,15,0
90000,51000,158000,10,0
90000,39500,280000,15,0
102000,38500,310000,15,0
84000,29000,179000,20,0
86000,32500,106000,20,0
111000,44000,383000,15,0
55000,34000,152000,10,0
49000,30000,84000,10,0
39000,19500,138000,20,0
80000,41500,269000,10,0
20000,13500,10000,20,0
89000,59000,315000,10,0
72000,45500,169000,15,0
109000,49000,407000,30,0
55000,24500,176000,5,0
69000,45000,70000,15,0
109000,73000,185000,20,0
116000,72000,185000,20,0
55000,33000,163000,15,0
80000,42000,191000,30,0
84000,36500,122000,30,0
86000,34000,272000,20,0
67000,24000,187000,30,0
113000,67000,370000,15,0
20000,12000,62000,20,0
62000,27500,164000,15,0
88000,26500,95000,15,1
89000,60000,105000,10,0
116000,55000,378000,15,0
111000,76500,388000,20,0
66000,37500,149000,10,0
114000,40000,451000,20,0
54000,23500,83000,15,0
103000,58000,315000,5,0
129000,72000,367000,15,0
111000,43500,346000,10,0
78000,29000,153000,15,0
65000,26500,88000,5,0
29000,18000,56000,15,0
84000,33500,98000,10,0
42000,24500,37000,15,0
51000,33000,148000,30,0
39000,18000,154000,30,0
61000,18500,173000,5,0
74000,26500,72000,20,1
83000,35500,193000,10,0
57000,21500,149000,15,0
107000,44500,329000,10,0
69000,35500,222000,30,0
51000,15500,61000,10,1
82000,26500,135000,30,1
134000,86000,322000,15,0
85000,43500,44000,15,0
64000,43000,76000,10,0
29000,8500,112000,30,1
68000,20500,119000,30,1
82000,49000,255000,20,0
63000,31000,136000,30,0
25000,16500,100000,30,0
49000,30000,179000,10,0
119000,59500,179000,15,0
118000,58000,390000,20,0
48000,30000,117000,5,0
95000,59000,149000,30,0
40000,16500,92000,5,0
117000,66500,195000,15,0
82000,45500,93000,15,0
103000,66000,220000,15,0
24000,15500,48000,10,0
95000,38500,152000,30,0
75000,49000,200000,5,0
101000,67500,96000,10,0
102000,35000,398000,30,1
77000,41000,96000,15,0
57000,27000,151000,30,0
98000,45000,187000,20,0
73000,42500,39000,5,0
